"","Year","ADMIN1_NAME","ADMIN2_NAME","LocationName","Latitude","Longitude","Positive","Examined","Prevalence","Calc_Prevalence","lo_CI","up_CI","Prev_label"
"1",2015,"Sud-Ouest","Diebougou","Dolo","10.86267","-3.4044720000000002",0,454,0,0,0,0.00809236423616144,"0 %"
"2",2015,"Sud-Ouest","Dano","Nablegane","11.190329999999999","-3.124889",0,325,0,0,0,0.0112862255742233,"0 %"
"3",2015,"Sud-Ouest","Dano","Tovor","10.855079999999999","-2.9418329999999999",0,344,0,0,0,0.0106661951722897,"0 %"
"4",2015,"Sud-Ouest","Diebougou","Saptan","10.835000000000001","-3.40225",5,277,0.0180505415162455,0.0180505415162455,0.00588629355193365,0.0416189067339759,"1.805 %"
"5",2016,"Sud-Ouest","Dano","null","null","null",8,1700,0.00470588235294118,0.00470588235294118,0.00203378906955855,0.00925130194769153,"0.471 %"
"6",2016,"Sud-Ouest","Kampti","Ouatinao","13.298030000000001","-0.36658000000000002",1,320,0.003125,0.003125,7.91150201926209e-05,0.0172875204768951,"0.312 %"
"7",2016,"Sud-Ouest","Batie","Tambilou","13.535629999999999","-0.46597",1,347,0.00288184438040346,0.00288184438040346,7.29593210029363e-05,0.0159512364839375,"0.288 %"
"8",2016,"Sud-Ouest","Gaoua","Niampira","13.60985","-0.44592100000000001",0,356,0,0,0,0.0103085201511082,"0 %"
"9",2016,"Sud-Ouest","Batie","Kosso","13.149979999999999","-0.25697999999999999",0,381,0,0,0,0.00963537769705558,"0 %"
"10",2016,"Sud-Ouest","Batie","Koudjo","11.28116","-0.60641",0,350,0,0,0,0.0104843080319834,"0 %"
"11",2017,"Sud-Ouest","Diebougou","Saptan","10.831193300000001","-3.4045550000000002",15,313,0.0479233226837061,0.0479233226837061,0.0270670145048714,0.0778112515065593,"4.792 %"
"12",2017,"Sud-Ouest","Diebougou","Mouvielo-Walbale-Zopal","10.764340000000001","-3.1106950000000002",21,466,0.0450643776824034,0.0450643776824034,0.0281086925916989,0.0680629372002538,"4.506 %"
"13",2017,"Sud-Ouest","Diebougou","Limalia","11.034205","-3.2540800000000001",15,363,0.0413223140495868,0.0413223140495868,0.0233092369420721,0.0672397797821209,"4.132 %"
"14",2017,"Sud-Ouest","Diebougou","Danko-Tanzou","10.854106700000001","-3.22931167",19,316,0.060126582278481,0.060126582278481,0.0365846949862166,0.0923049110289972,"6.013 %"
"15",2018,"Sud-Ouest","Dano","null","null","null",0,1818,0,0,0,0.00202702940384193,"0 %"
"16",2019,"Sud-Ouest","Batie","Zinkapoko","9.8514206000000009","-3.1465489",29,313,0.0926517571884984,0.0926517571884984,0.0629303313773183,0.130350297208678,"9.265 %"
